REGr,Value
alb,-959.473022460937
are,39272.8359375
arg,29238.8984375
arm,-1119.86791992188
aus,136953.109375
aut,44599.734375
aze,24377.1015625
bel,9219.03125
ben,-5038.9931640625
bfa,1708.15612792969
bgd,5134.61572265625
bgr,-1228.0087890625
bhr,2405.744140625
blr,4736.3408203125
bol,815.33544921875
bra,71491
brn,5928.14306640625
bwa,5017.2060546875
can,187145.34375
che,144450.1875
chl,24707.83203125
chn,2552912.5
civ,2670.86401367188
cmr,1107.71923828125
col,13834.81640625
cri,6920.3876953125
cyp,-1121.2197265625
cze,16988.40234375
deu,469302.4375
dnk,37084.5390625
dom,-4122.1533203125
ecu,5704.1533203125
egy,-6455.857421875
esp,29285.25
est,33.07958984375
eth,893.128662109375
fin,5234.9765625
fra,121499.75
gbr,14837.625
geo,-3680.23999023438
gha,-116.89404296875
gin,-1173.8779296875
grc,-54906.84765625
gtm,-1523.673828125
hkg,43146.2890625
hnd,193.25732421875
hrv,-374.8681640625
hun,5109.115234375
idn,147886.65625
ind,290999.1875
irl,62051.75390625
irn,145452.59375
isr,19642.57421875
ita,46279.21875
jam,-2201.74291992188
jor,-7610.53173828125
jpn,550699.5
kaz,25326.490234375
ken,-3445.27392578125
kgz,-4783.84521484375
khm,-480.741882324219
kor,226455.15625
kwt,95324.7421875
lao,224.715637207031
lka,-910.28125
ltu,-4177.69921875
lux,1512.0078125
lva,-1760.4716796875
mar,440.1171875
mdg,-61.6383666992188
mex,130732.6328125
mlt,-4438.5419921875
mng,1564.2158203125
moz,1371.84912109375
mus,-565.533447265625
mwi,-289.986572265625
mys,49029.6875
nam,2334.14697265625
nga,49240.875
nic,361.032043457031
nld,136684.609375
nor,131095.046875
npl,-2537.65966796875
nzl,9500.46875
omn,24454.9609375
pak,-21864.34375
pan,-9331.49609375
per,11021.35546875
phl,-9916.3125
pol,1825.7578125
pri,-1630.232421875
prt,-12698.71875
pry,-1142.38232421875
qat,96065.609375
rou,9239.0625
rus,291000.15625
rwa,770.1123046875
sau,262245.625
sen,-2056.8720703125
sgp,121790.3203125
slv,-2967.45361328125
svk,5810.453125
svn,2.7041015625
swe,98947.265625
tgo,-1780.296875
tha,37637.5078125
tto,7987.1015625
tun,-1977.9375
tur,31225.15625
twn,117578.5
tza,1659.04565429688
uga,1562.89575195313
ukr,-13318.41796875
ury,-103.69482421875
usa,398704.25
ven,43247.07421875
vnm,-879.931640625
xac,21104.96484375
xca,229.974761962891
xcb,-4699.2890625
xcf,32335.703125
xea,10988.9375
xec,6567.419921875
xee,-3193.21240234375
xef,-1083.0107421875
xer,-7856.47265625
xna,-191.861328125
xnf,62850.1328125
xoc,-5630.3505859375
xsa,-6034.4072265625
xsc,413.393249511719
xse,7249.0869140625
xsm,1111.59887695313
xsu,25715.0390625
xtw,19.7844581604004
xwf,-7902.65625
xws,53217.109375
zaf,20667.9453125
zmb,3882.77905273438
zwe,-2410.4111328125
