ACTS,mapping
afs,svces
atp,svces
b_t,food
bph,mnfcs
c_b,ocrops
chm,mnfcs
cmn,svces
cmt,food
cns,svces
coa,mnfcs
ctl,livestock
dwe,svces
edu,svces
eeq,mnfcs
ele,mnfcs
ely,mnfcs
fmp,mnfcs
frs,frs
fsh,food
gas,mnfcs
gdt,mnfcs
gro,grains
hht,svces
i_s,mnfcs
ins,svces
lea,mnfcs
lum,mnfcs
mil,food
mvh,mnfcs
nfm,mnfcs
nmm,mnfcs
oap,food
obs,svces
ocr,ocrops
ofd,food
ofi,svces
oil,mnfcs
ome,mnfcs
omf,mnfcs
omt,food
osd,ocrops
osg,svces
otn,mnfcs
otp,svces
oxt,mnfcs
p_c,mnfcs
pcr,food
pdr,grains
pfb,ocrops
ppp,mnfcs
rmk,livestock
ros,svces
rpp,mnfcs
rsa,svces
sgr,food
tex,mnfcs
trd,svces
v_f,ocrops
vol,food
wap,mnfcs
whs,svces
wht,grains
wol,livestock
wtp,svces
wtr,svces
