ACTS,mapping
afs,afs
atp,atp
b_t,food
bph,bph
c_b,ocrops
chm,chm
cmn,cmn
cmt,food
cns,cns
coa,coa
ctl,livestock
dwe,dwe
edu,edu
eeq,eeq
ele,ele
ely,ely
fmp,fmp
frs,frs
fsh,food
gas,gas
gdt,gdt
gro,grains
hht,hht
i_s,i_s
ins,ins
lea,lea
lum,lum
mil,food
mvh,mvh
nfm,nfm
nmm,nmm
oap,food
obs,obs
ocr,ocrops
ofd,food
ofi,ofi
oil,oil
ome,ome
omf,omf
omt,food
osd,ocrops
osg,osg
otn,otn
otp,otp
oxt,oxt
p_c,p_c
pcr,food
pdr,grains
pfb,ocrops
ppp,ppp
rmk,livestock
ros,ros
rpp,rpp
rsa,rsa
sgr,food
tex,tex
trd,trd
v_f,ocrops
vol,food
wap,wap
whs,whs
wht,grains
wol,livestock
wtp,wtp
wtr,wtr
