TRAD_COMMi,REGr,Value
atp,alb,0.625290811061859
atp,are,0.22221714258194
atp,arg,0.456950813531876
atp,arm,0.655855000019074
atp,aus,0.086613804101944
atp,aut,0.156249046325684
atp,aze,0.545656740665436
atp,bel,0.173782423138618
atp,ben,0.795028030872345
atp,bfa,0.792240381240845
atp,bgd,0.793590068817139
atp,bgr,0.559162199497223
atp,bhr,0.358511477708817
atp,blr,0.57230669260025
atp,bol,0.704237043857575
atp,bra,0.471399784088135
atp,brn,0.211368173360825
atp,bwa,0.545588612556458
atp,can,0.142462119460106
atp,che,9.99999997475243e-07
atp,chl,0.446227163076401
atp,chn,0.594869017601013
atp,civ,0.752656638622284
atp,cmr,0.757723152637482
atp,col,0.56377637386322
atp,cri,0.527924358844757
atp,cyp,0.36137267947197
atp,cze,0.370714902877808
atp,deu,0.187361791729927
atp,dnk,0.0959942936897278
atp,dom,0.60102778673172
atp,ecu,0.604196846485138
atp,egy,0.672452092170715
atp,esp,0.281416296958923
atp,est,0.412356108427048
atp,eth,0.824113249778748
atp,fin,0.162214428186417
atp,fra,0.206714645028114
atp,gbr,0.22510726749897
atp,geo,0.661982119083405
atp,gha,0.73088264465332
atp,gin,0.819890141487122
atp,grc,0.326298415660858
atp,gtm,0.663308382034302
atp,hkg,0.250497430562973
atp,hnd,0.700075149536133
atp,hrv,0.43958905339241
atp,hun,0.454744875431061
atp,idn,0.655637264251709
atp,ind,0.739367663860321
atp,irl,0.151895791292191
atp,irn,0.559943437576294
atp,isr,0.263206452131271
atp,ita,0.237801462411881
atp,jam,0.60450154542923
atp,jor,0.622533202171326
atp,jpn,0.175945520401001
atp,kaz,0.479316532611847
atp,ken,0.785129845142365
atp,kgz,0.766418993473053
atp,khm,0.782235264778137
atp,kor,0.33691132068634
atp,kwt,0.136229187250137
atp,lao,0.751917064189911
atp,lka,0.675291776657105
atp,ltu,0.444793224334717
atp,lux,9.99999997475243e-07
atp,lva,0.4500892162323
atp,mar,0.664320111274719
atp,mdg,0.817196071147919
atp,mex,0.515161991119385
atp,mlt,0.357003331184387
atp,mng,0.663389265537262
atp,moz,0.809337198734283
atp,mus,0.531158268451691
atp,mwi,0.820049345493317
atp,mys,0.506149590015411
atp,nam,0.589617788791657
atp,nga,0.686253786087036
atp,nic,0.731399595737457
atp,nld,0.151648655533791
atp,nor,9.99999997475243e-07
atp,npl,0.797954380512238
atp,nzl,0.235973536968231
atp,omn,0.343600034713745
atp,pak,0.756568372249603
atp,pan,0.529981434345245
atp,per,0.585965394973755
atp,phl,0.701668560504913
atp,pol,0.460331737995148
atp,pri,0.317484766244888
