TRAD_COMMi,REGr,Value
atp,alb,0.278323937280361
atp,are,0.291470030704289
atp,arg,0.0794668921332183
atp,arm,0.286673415711917
atp,aus,0.350665879383087
atp,aut,0.431701490669453
atp,aze,0.174565574273021
atp,bel,0.381339626046369
atp,ben,0.541398938863444
atp,bfa,0.0252169146960733
atp,bgd,0.802176810932655
atp,bgr,0.677188287102426
atp,bhr,0.710963141007473
atp,blr,0.153223966492954
atp,bol,0.532629180545816
atp,bra,0.000418708742448141
atp,brn,0.655508304668045
atp,bwa,0.654652362504735
atp,can,0.327970388815971
atp,che,0.729260579932216
atp,chl,0.821142839166888
atp,chn,0.0331469686596192
atp,civ,0.291311639130266
atp,cmr,0.0167228307979811
atp,col,0.724127058279781
atp,cri,0.70064911536727
atp,cyp,0.441756793323835
atp,cze,0.256567639633892
atp,deu,0.450573754466971
atp,dnk,0.546374324822218
atp,dom,0.917755215699
atp,ecu,0.644547482389891
atp,egy,0.489691907683737
atp,esp,0.386635320202037
atp,est,0.776154112672247
atp,eth,0.653211827078662
atp,fin,0.86833061080762
atp,fra,0.740346215482228
atp,gbr,0.726079836854408
atp,geo,0.406635808712411
atp,gha,0.276588142691761
atp,gin,0.484646507363068
atp,grc,0.514828098766795
atp,gtm,0.839959494038263
atp,hkg,0.21820342474949
atp,hnd,0.398198438985302
atp,hrv,0.987197372525782
atp,hun,0.163934561758369
atp,idn,0.841497858650244
atp,ind,0.173609637603176
atp,irl,0.488224765822258
atp,irn,0.776002759321581
atp,isr,0.77376552164492
atp,ita,0.833050437877315
atp,jam,0.223803803498826
atp,jor,0.397024316925728
atp,jpn,0.374728198560638
atp,kaz,0.122431572366506
atp,ken,0.563210441475703
atp,kgz,0.474913938763173
atp,khm,0.241908310260269
atp,kor,0.18585718396858
atp,kwt,0.855531965197093
atp,lao,0.0709872700157796
atp,lka,0.571216411580417
atp,ltu,0.692102519184361
atp,lux,0.693607112012303
atp,lva,0.921111818900363
atp,mar,0.726373763064184
atp,mdg,0.507717368600801
atp,mex,0.923501523554417
atp,mlt,0.692435073782794
atp,mng,0.7630477836154
atp,moz,0.392558136613046
atp,mus,0.448393338296004
atp,mwi,0.419087645395537
atp,mys,0.793754059913737
atp,nam,0.819283745401056
atp,nga,0.708025726649983
atp,nic,0.523707907293382
atp,nld,0.314184905780447
atp,nor,0.353322495427384
atp,npl,0.290680022554059
atp,nzl,0.326089676069909
atp,omn,0.165826700645264
atp,pak,0.70120095594367
atp,pan,0.335072828597928
atp,per,0.180861371818562
atp,phl,0.793340257130301
atp,pol,0.11521411634079
atp,pri,0.90569646782997
atp,prt,0.932047225669454
atp,pry,0.362777886223305
atp,qat,0.604386016460904
atp,rou,0.0385452429009152
atp,rus,0.00659902554803045
atp,rwa,0.184124428977914
atp,sau,0.0924807969238369
atp,sen,0.991051485847892
atp,sgp,0.616701772055856
atp,slv,0.980552486645428
atp,svk,0.59234085539673
atp,svn,0.678564921588507
atp,swe,0.648342264297022
atp,tgo,0.485085907728764
atp,tha,0.0553692989513398
atp,tto,0.97367559201503
atp,tun,0.984904874004089
atp,tur,0.860781302166448
atp,twn,0.415596446562517
atp,tza,0.706352139394683
atp,uga,0.2623306819253
atp,ukr,0.34584271336889
atp,ury,0.835390154591308
atp,usa,0.88608891842389
atp,ven,0.234675327023019
atp,vnm,0.628077930304148
atp,xac,0.188572705348636
atp,xca,0.290593437901447
atp,xcb,0.258309013531973
atp,xcf,0.229171659641922
atp,xea,0.0912255857022686
atp,xec,0.637985599768398
atp,xee,0.168601625617653
atp,xef,0.0666500003203749
atp,xer,0.573869430165681
atp,xna,0.22401961145964
atp,xnf,0.0995814543908044
atp,xoc,0.211936556120351
atp,xsa,0.486798479370059
atp,xsc,0.963627990917173
atp,xse,0.70009735348747
atp,xsm,0.350880728083581
atp,xsu,0.951555998736475
atp,xtw,0.799572012873594
atp,xwf,0.446523364143269
atp,xws,0.309626419479265
atp,zaf,0.117504463744497
atp,zmb,0.885479155986389
atp,zwe,0.767111730010376
b_t,alb,0.397473895928179
b_t,are,0.698850106687694
b_t,arg,0.789360568017509
b_t,arm,0.582168715068131
b_t,aus,0.282516151914161
b_t,aut,0.70549771062751
b_t,aze,0.657430280741853
b_t,bel,0.626199120944766
b_t,ben,0.814073193515066
b_t,bfa,0.19412438603708
b_t,bgd,0.15993674611797
b_t,bgr,0.365073242735395
b_t,bhr,0.308341651165484
b_t,blr,0.789763705549123
b_t,bol,0.720162451672888
b_t,bra,0.953114594660844
b_t,brn,0.0798748962811489
b_t,bwa,0.490854572636065
b_t,can,0.730339004831793
b_t,che,0.0354251623281966
b_t,chl,0.396678518015626
b_t,chn,0.968054797784638
b_t,civ,0.12890373341444
b_t,cmr,0.373120917846697
b_t,col,0.411081549329699
b_t,cri,0.291554889386815
b_t,cyp,0.0304563251837516
b_t,cze,0.514634395469956
b_t,deu,0.166163797061919
b_t,dnk,0.0316060519960905
b_t,dom,0.365771865740467
b_t,ecu,0.252682821599637
b_t,egy,0.129537792379182
b_t,esp,0.690293840834791
