CYRS,REGr,Value
2011,alb,2.9133488
2011,are,8.5226504
2011,arg,41.3226798
2011,arm,2.941478
2011,aus,22.2138596
2011,aut,8.3977026
2011,aze,9.3031458
2011,bel,10.9141436
2011,ben,9.6002394
2011,bfa,16.3925582
2011,bgd,149.3733136
2011,bgr,7.560707
2011,bhr,1.2385726
2011,blr,9.7353754
2011,bol,10.3103672
2011,bra,197.213162
2011,brn,0.3983586
2011,bwa,2.1124986
2011,can,34.138896
2011,che,7.8684328
2011,chl,17.0918546
2011,chn,1352.9169734
2011,civ,21.3755114
2011,cmr,20.2082584
2011,col,45.0305792
2011,cri,4.6486794
2011,cyp,1.1326464
2011,cze,10.458301
2011,deu,81.420263
2011,dnk,5.5632642
2011,dom,9.8381476
2011,ecu,15.1078938
2011,egy,88.4062306
2011,esp,46.4772834
2011,est,1.329379
2011,eth,90.5953552
2011,fin,5.3754318
2011,fra,64.2489016
2011,gbr,63.000924
2011,geo,3.8294008
2011,gha,25.918173
2011,gin,10.4102092
2011,grc,11.004
2011,gtm,14.6912002
2011,hkg,7.1675316
2011,hnd,8.5340136
2011,hrv,4.3551126
2011,hun,9.9721978
2011,idn,245.5363214
2011,ind,1248.6888684
2011,irl,4.53979
2011,irn,76.0434326
2011,isr,7.3967574
2011,ita,59.8162948
2011,jam,2.7405408
2011,jor,7.303864
2011,jpn,127.9787092
2011,kaz,16.7503986
2011,ken,42.0292904
2011,kgz,5.5348838
2011,khm,14.4702798
2011,kor,49.1067556
2011,kwt,3.0444616
2011,lao,6.3687394
2011,lka,20.7193932
2011,ltu,3.1234242
2011,lux,0.5142918
2011,lva,2.0916192
2011,mar,32.6929168
2011,mdg,22.0446094
2011,mex,113.281467
2011,mlt,0.4236654
2011,mng,2.7340442
2011,moz,23.479577
2011,mus,1.2839376
2011,mwi,14.9466334
2011,mys,28.9593574
2011,nam,2.1190524
2011,nga,163.3270954
2011,nic,5.9008542
2011,nld,16.6604196
2011,nor,4.920217
2011,npl,27.179778
2011,nzl,4.3710234
2011,omn,2.994012
2011,pak,195.7593174
2011,pan,3.6576688
2011,per,29.3941148
2011,phl,95.4546052
2011,pol,38.5786308
2011,pri,3.6894484
2011,prt,10.5538756
2011,pry,5.812603
2011,qat,1.8015108
2011,rou,20.3145236
2011,rus,143.4718782
2011,rwa,10.4409118
2011,sau,29.6958188
2011,sen,12.7203992
2011,sgp,5.199898
2011,slv,6.1262256
2011,svk,5.3993008
2011,svn,2.056267
2011,swe,9.4312824
2011,tgo,6.6631926
2011,tha,68.4702074
2011,tto,1.4156344
2011,tun,10.9688898
2011,tur,73.9560382
2011,twn,23.1454482
2011,tza,45.901418
2011,uga,32.8753326
2011,ukr,45.6324848
2011,ury,3.3580236
2011,usa,312.5769804
2011,ven,28.8912804
2011,vnm,87.899371
2011,xac,91.566297
2011,xca,0.3259592
2011,xcb,22.7388028
2011,xcf,24.3268852
2011,xea,25.3110774
2011,xec,70.568779
2011,xee,3.635794
2011,xef,0.320211
2011,xer,14.1543982
2011,xna,0.127451002597809
2011,xnf,43.0358552
2011,xoc,10.626366
2011,xsa,29.9933884
2011,xsc,3.1377796
2011,xse,50.714318
2011,xsm,1.5308902
2011,xsu,41.8925978
2011,xtw,0.00260200002230704
2011,xwf,50.9696866
2011,xws,88.088813
2011,zaf,52.2163562
2011,zmb,14.043219
2011,zwe,13.003664
2012,alb,2.9058006
2012,are,8.6113098
2012,arg,41.7525816
2012,arm,2.927348
2012,aus,22.5707542
2012,aut,8.4444292
2012,aze,9.4284926
2012,bel,10.9892542
2012,ben,9.8930938
2012,bfa,16.9050934
2012,bgd,151.2590662
2012,bgr,7.505876
2012,bhr,1.2635032
2012,blr,9.7256568
2012,bol,10.4836954
2012,bra,198.993574
2012,brn,0.4035422
2012,bwa,2.1549332
2012,can,34.49475
2012,che,7.9605546
2012,chl,17.2636472
2012,chn,1362.1363688
2012,civ,21.8545888
2012,cmr,20.8218078
2012,col,45.4966214
2012,cri,4.7040078
2012,cyp,1.1450038
2012,cze,10.474143
2012,deu,81.557095
2012,dnk,5.5884614
2012,dom,9.9646922
2012,ecu,15.3497946
2012,egy,90.4735232
2012,esp,46.4662368
2012,est,1.325348
2012,eth,93.2208124
2012,fin,5.3994986
2012,fra,64.5417602
2012,gbr,63.502715
2012,geo,3.8149586
2012,gha,26.571592
2012,gin,10.6764984
2012,grc,10.962104
2012,gtm,14.9831014
2012,hkg,7.2201702
2012,hnd,8.7033272
2012,hrv,4.3340732
2012,hun,9.9433786
2012,idn,248.5741168
2012,ind,1265.2923488
2012,irl,4.565243
2012,irn,77.2531972
2012,isr,7.5309008
2012,ita,59.9366556
2012,jam,2.7528186
2012,jor,7.765524
2012,jpn,127.8260184
2012,kaz,16.9916992
2012,ken,43.1084658
2012,kgz,5.6171256
2012,khm,14.6817076
2012,kor,49.5270272
2012,kwt,3.2209942
2012,lao,6.4606518
2012,lka,20.8622394
2012,ltu,3.0873414
2012,lux,0.5263986
2012,lva,2.0690364
2012,mar,33.1365796
2012,mdg,22.6662278
2012,mex,114.829176
2012,mlt,0.4305598
2012,mng,2.7837484
2012,moz,24.21845
2012,mus,1.2861532
2012,mwi,15.3867238
2012,mys,29.4300928
2012,nam,2.1549448
2012,nga,167.9209868
2012,nic,5.9890074
2012,nld,16.7452552
2012,nor,4.981733
2012,npl,27.264201
2012,nzl,4.4162778
2012,omn,3.266811
2012,pak,199.2342298
2012,pan,3.7239176
2012,per,29.6757596
2012,phl,97.1223324
2012,pol,38.5774766
2012,pri,3.6493418
2012,prt,10.5109572
2012,pry,5.892911
2012,qat,1.9298076
2012,rou,20.2257302
2012,rus,143.7143744
2012,rwa,10.7066606
2012,sau,30.3823356
2012,sen,13.0806774
2012,sgp,5.303764
2012,slv,6.1499812
2012,svk,5.4050056
2012,svn,2.061243
2012,swe,9.5230308
2012,tgo,6.8423782
2012,tha,68.8880738
2012,tto,1.4256008
2012,tun,11.1000176
2012,tur,75.2086034
2012,twn,23.2259824
2012,tza,47.328167
2012,uga,33.8799472
2012,ukr,45.4868866
2012,ury,3.3677592
2012,usa,315.2698968
2012,ven,29.2601108
2012,vnm,88.853781
2012,xac,94.912183
2012,xca,0.3335034
2012,xcb,22.8939396
2012,xcf,25.0543944
2012,xea,25.4334138
2012,xec,72.504853
2012,xee,3.553302
2012,xef,0.322496
2012,xer,14.0709534
2012,xna,0.127444336811701
2012,xnf,43.7215404
2012,xoc,10.88062
2012,xsa,31.1267818
2012,xsc,3.1623472
2012,xse,51.154916
2012,xsm,1.5431004
2012,xsu,42.6276086
2012,xtw,0.00260200002230704
